texto,etiqueta
Se ha detectado una falla crítica en los de .,riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
La exposición a productos químicos quim es inminente .,riesgo alto
Los de temperatura están dentro de los parámetros normales .,sin riesgo
No se han detectado riesgos en la zona de trabajo .,sin riesgo
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
Los de temperatura están dentro de los parámetros normales .,sin riesgo
Los de temperatura están dentro de los parámetros normales .,sin riesgo
Las inspecciones de se han realizado .,sin riesgo
Las inspecciones de se han realizado .,sin riesgo
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
Los equipos de protección la están completos y en estado .,sin riesgo
"Hay un retraso en la maquinaria , pero no está afectando la .",riesgo medio
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
Los equipos de protección la están completos y en estado .,sin riesgo
Se ha detectado una falla crítica en los de .,riesgo alto
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
Hay un de riesgo inminente de accidente .,riesgo alto
Hay una pequeña fuga de aceite que requiere .,riesgo medio
La exposición a productos químicos quim es inminente .,riesgo alto
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
"Hay un retraso en la maquinaria , pero no está afectando la .",riesgo medio
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
Los mas son sin ningún inconveniente .,sin riesgo
Los de temperatura están dentro de los parámetros normales .,sin riesgo
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
Los mas son sin ningún inconveniente .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
Los mas son sin ningún inconveniente .,sin riesgo
Hay un de riesgo inminente de accidente .,riesgo alto
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
"Hay un retraso en la maquinaria , pero no está afectando la .",riesgo medio
Los equipos de protección la están completos y en estado .,sin riesgo
Los de temperatura están dentro de los parámetros normales .,sin riesgo
Los mas son sin ningún inconveniente .,sin riesgo
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
Hay un de riesgo inminente de accidente .,riesgo alto
El sistema de no reporta ninguna anomalía .,sin riesgo
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
Se han roto varios de seguridad simultáneamente .,riesgo alto
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
El sistema de no reporta ninguna anomalía .,sin riesgo
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
El de ha colapsado completamente .,riesgo alto
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Se han roto varios de seguridad simultáneamente .,riesgo alto
"De tenido una pequeña fluctuación en la energía , pero noiz de .",riesgo medio
La ventilación muestra signos de necesitar mantenimiento .,riesgo medio
"De tenido una pequeña fluctuación en la energía , pero noiz de .",riesgo medio
El de ha colapsado completamente .,riesgo alto
Se ha detectado una falla crítica en los de .,riesgo alto
Se ha detectado una falla crítica en los de .,riesgo alto
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
No se han detectado riesgos en la zona de trabajo .,sin riesgo
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
La ventilación muestra signos de necesitar mantenimiento .,riesgo medio
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
Se ha detectado una falla crítica en los de .,riesgo alto
Se han roto varios de seguridad simultáneamente .,riesgo alto
Las inspecciones de se han realizado .,sin riesgo
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
Hay una pequeña fuga de aceite que requiere .,riesgo medio
No se han detectado riesgos en la zona de trabajo .,sin riesgo
La exposición a productos químicos quim es inminente .,riesgo alto
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
Se ha detectado una falla crítica en los de .,riesgo alto
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
La exposición a productos químicos quim es inminente .,riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
Hay un de riesgo inminente de accidente .,riesgo alto
Hay una pequeña fuga de aceite que requiere .,riesgo medio
Se ha detectado una falla crítica en los de .,riesgo alto
El de ha colapsado completamente .,riesgo alto
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
Los de temperatura están dentro de los parámetros normales .,sin riesgo
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
Hay un de riesgo inminente de accidente .,riesgo alto
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
Hay un riesgo inmediato de colapso .,riesgo alto
"Un ha sufrido una grave , necesitamos asistencia médica urgente .",riesgo alto
El de ha colapsado completamente .,riesgo alto
No se han detectado riesgos en la zona de trabajo .,sin riesgo
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
La exposición a productos químicos quim es inminente .,riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
Se han roto varios de seguridad simultáneamente .,riesgo alto
El sistema de no reporta ninguna anomalía .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
Se han roto varios de seguridad simultáneamente .,riesgo alto
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
Hay una pequeña fuga de aceite que requiere .,riesgo medio
Hay un de riesgo inminente de accidente .,riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
Se han roto varios de seguridad simultáneamente .,riesgo alto
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
Hay un riesgo inmediato de colapso .,riesgo alto
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
Hay un de riesgo inminente de accidente .,riesgo alto
Se ha detectado una falla crítica en los de .,riesgo alto
El de ha colapsado completamente .,riesgo alto
Las de trabajo son seguras y .,sin riesgo
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
Se identificado algunos procedimientos que necesitan revisión .,riesgo medio
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
La ventilación muestra signos de necesitar mantenimiento .,riesgo medio
Hay una pequeña fuga de aceite que requiere .,riesgo medio
Las de trabajo son seguras y .,sin riesgo
"De tenido una pequeña fluctuación en la energía , pero noiz de .",riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
La exposición a productos químicos quim es inminente .,riesgo alto
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
"El horno está emi ruidos , pero no parece haber problemas graves .",riesgo medio
El equipo de indica algunas mejoras menores necesarias .,riesgo medio
"Se detectaron leves anomalías en la , estamos monitoreando .",riesgo medio
"Los niveles de están por encima de lo normal , pero no críticos .",riesgo medio
Se ha detectado una falla crítica en los de .,riesgo alto
"Hay un retraso en la maquinaria , pero no está afectando la .",riesgo medio
Los mas son sin ningún inconveniente .,sin riesgo
Se han roto varios de seguridad simultáneamente .,riesgo alto
Hay un riesgo inmediato de colapso .,riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
El de ha colapsado completamente .,riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
"De tenido una pequeña fluctuación en la energía , pero noiz de .",riesgo medio
"De tenido una pequeña fluctuación en la energía , pero noiz de .",riesgo medio
Las inspecciones de se han realizado .,sin riesgo
Los equipos de protección la están completos y en estado .,sin riesgo
Los mas son sin ningún inconveniente .,sin riesgo
Hay una pequeña fuga de aceite que requiere .,riesgo medio
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
El sistema de ventilación ha fallado y hay humo en el área de .,riesgo alto
El sistema de no reporta ninguna anomalía .,sin riesgo
La exposición a productos químicos quim es inminente .,riesgo alto
"Hay un retraso en la maquinaria , pero no está afectando la .",riesgo medio
Se observa un desgaste en algunos equipos de protección .,riesgo medio
La exposición a productos químicos quim es inminente .,riesgo alto
No se han detectado riesgos en la zona de trabajo .,sin riesgo
"Hay una fuga de gas cerca del área de , necesitamos evacuar inmediatamente .",riesgo alto
Hay una pequeña fuga de aceite que requiere .,riesgo medio
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
La exposición a productos químicos quim es inminente .,riesgo alto
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Los de temperatura están dentro de los parámetros normales .,sin riesgo
No se han detectado riesgos en la zona de trabajo .,sin riesgo
Se ha detectado una falla crítica en los de .,riesgo alto
Se observa un desgaste en algunos equipos de protección .,riesgo medio
El sistema de no reporta ninguna anomalía .,sin riesgo
El personal está cumpliendo riguros las normas de seguridad .,sin riesgo
Todos los protocolos de seguridad se siguiendo adecuadamente .,sin riesgo
Se observa un desgaste en algunos equipos de protección .,riesgo medio
". explosión ha ocurrido en la zona de fundición , necesitamos evacuación masiva .",riesgo alto
Los de temperatura están dentro de los parámetros normales .,sin riesgo
Los de temperatura están dentro de los parámetros normales .,sin riesgo
Hay una pequeña fuga de aceite que requiere .,riesgo medio
"Todo funcionando correctamente , no hay problemas con equipos .",sin riesgo
Los equipos de protección la están completos y en estado .,sin riesgo
